txdate,storecode,tillid,tendercode,cashfloat,cashfloatbase,depositdr,depositdrbase,depositcr,depositcrbase,salesdr,salesdrbase,salescr,salescrbase,pettycash,pettycashbase,cashlift,cashliftbase,excessmoney
2010-01-01 00:00:00.000,11014,16,DK,0.00,0.00,0.00,0.00,0.00,0.00,9591.90,9591.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,30,LF,0.00,0.00,0.00,0.00,0.00,0.00,2464.00,2464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,31,ST,0.00,0.00,0.00,0.00,0.00,0.00,8807.00,8807.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,07,DK,0.00,0.00,0.00,0.00,0.00,0.00,4679.00,4679.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,XD,0.00,0.00,0.00,0.00,0.00,0.00,2324.20,2324.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,17,LF,0.00,0.00,0.00,0.00,0.00,0.00,1161.00,1161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,OT,0.00,0.00,0.00,0.00,0.00,0.00,32568.20,32568.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,AT,0.00,0.00,0.00,0.00,0.00,0.00,224.00,224.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,OT,0.00,0.00,0.00,0.00,0.00,0.00,8883.50,8883.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,39,XD,0.00,0.00,0.00,0.00,0.00,0.00,884.20,884.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,ST,0.00,0.00,0.00,0.00,0.00,0.00,2133.00,2133.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,05,XD,0.00,0.00,0.00,0.00,0.00,0.00,59.20,59.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,ST,0.00,0.00,0.00,0.00,0.00,0.00,11145.60,11145.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,LF,0.00,0.00,0.00,0.00,0.00,0.00,537.00,537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,AT,0.00,0.00,0.00,0.00,0.00,0.00,99.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,20,DK,0.00,0.00,0.00,0.00,0.00,0.00,7735.60,7735.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,13,XD,0.00,0.00,0.00,0.00,0.00,0.00,344.00,344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,LF,0.00,0.00,0.00,0.00,0.00,0.00,156.00,156.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,05,ST,0.00,0.00,0.00,0.00,0.00,0.00,1552.00,1552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,07,LF,0.00,0.00,0.00,0.00,0.00,0.00,159.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,31,XD,0.00,0.00,0.00,0.00,0.00,0.00,9590.80,9590.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,LF,0.00,0.00,0.00,0.00,0.00,0.00,5678.00,5678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,01,LF,0.00,0.00,0.00,0.00,0.00,0.00,1962.00,1962.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
