category,desci,longdesc
392400,化妝及飾物玩具,NULL
392500,公仔,NULL
392600,卡通人物玩具,NULL
393000,教育玩具,NULL
393100,學前玩具,NULL
393200,電子玩具,NULL
393300,泥膠,NULL
393400,球類玩具,NULL
393500,手工玩具,NULL
393600,棋類玩具,NULL
393700,沙灘玩具,NULL
393800,砌圖,NULL
394100,單車,NULL
394200,三輪車,NULL
394300,豬仔車,NULL
394400,腳踏車,NULL
394500,電動車,NULL
395100,電子游戲機,NULL
395200,電動玩具,NULL
395300,遙控玩具,NULL
400000,家居用品,NULL
401100,煮食工具,NULL
401101,鑊/鍋,NULL
401102,煲,NULL
401103,小煲,NULL
401104,高速煲,NULL
401105,真空煲,NULL
401200,煮食配件及雜項,NULL
401201,鑊鏟,NULL
401202,湯勺,NULL
401203,鋦爐用具,NULL
401204,筷子,NULL
401205,面粉棍,NULL
401206,飯勺,NULL
401207,箕,NULL
401208,隔熱墊,NULL
401209,圍裙,NULL
401210,爐頭紙,NULL
401211,錫紙,NULL
401212,保鮮紙,NULL
401213,濾水喉,NULL
401214,調味架,NULL
401215,雜物架,NULL
401300,刀刨類,NULL
401301,菜刀,NULL
401302,刨,NULL
401303,罐頭刀,NULL
401304,開瓶器,NULL
401305,刀座/架,NULL
401306,磨刀石/器,NULL
401307,台板,NULL
401308,廚剪,NULL
401309,攪拌器,NULL
401400,食物儲器皿,NULL
401401,微波爐盒,NULL
401402,塑料食物儲存器皿,NULL
401403,牛油碟,NULL
401404,桌上調味/食物夾,NULL
401405,杯架,NULL
402000,餐桌用品,NULL
402100,餐桌飲器皿,NULL
402101,保溫杯,NULL
402102,水杯,NULL
402103,套裝水杯,NULL
402104,碗,NULL
402105,碟,NULL
402106,小湯匙/油碟/筷子筒,NULL
402107,生果盤,NULL
402108,甜品小碗,NULL
402109,水壺,NULL
402110,凍水勺,NULL
402200,餐桌用品,NULL
402201,刀叉,NULL
402202,托盤,NULL
402203,全盒,NULL
402204,牙簽筒,NULL
402205,桌上調味瓶,NULL
402206,餐墊/餐巾,NULL
402207,煙缸,NULL
402300,宴會用品,NULL
402301,紙杯,NULL
402302,紙碟,NULL
402303,"一次性刀,叉,匙,筷子",NULL
402304,一次性塑杯碟,NULL
402305,一次性布,NULL
402306,鋁紙盒,NULL
402307,餐巾紙,NULL
402308,生日燭,NULL
402309,其它宴會用品,NULL
403000,居家用品,NULL
403100,儲物用具,NULL
403101,鞋架,NULL
403102,雜物架,NULL
403103,簡易衣櫃,NULL
403104,小型儲物盒,NULL
403105,衣架,NULL
403106,衣箱,NULL
403200,居室雜物,NULL
403201,燙衣板,NULL
403202,梯,NULL
403203,地墊,NULL
403204,台布/櫃墊,NULL
403205,鏡子/梳子,NULL
403206,防塵罩,NULL
403207,傘/傘架,NULL
403208,冷氣機棉,NULL
403209,門塞,NULL
403210,噴水壺,NULL
403211,紙巾盒,NULL
403212,五金用品,NULL
403213,窗花紙,NULL
404100,浴室配件,NULL
404101,浴鏡/鏡箱,NULL
404102,沐浴帘,NULL
404103,浴室架,NULL
404104,浴室磅,NULL
404105,毛巾架,NULL
404106,浴室地墊,NULL
404107,漱口杯/架,NULL
404108,皂盒/皂座,NULL
404109,花灑頭,NULL
404200,沐浴用品,NULL
404201,沐浴帽,NULL
404202,防水袋,NULL
404203,沐浴刷,NULL
404204,擦背器,NULL
404205,沐浴球,NULL
404206,浴巾,NULL
404260,浴巾,NULL
405000,清潔用品,NULL
405001,刷子,NULL
405002,洗衣籃/洗衣袋,NULL
405003,掃帚/鏟,NULL
405004,鑷子,NULL
405005,水桶,NULL
405006,清潔手套,NULL
405007,垃圾桶,NULL
405008,窗刮,NULL
405009,保鮮紙/袋,NULL
406000,diy,NULL
406100,小工具,NULL
406200,小五金,NULL
406300,膠水,NULL
406400,油膝用品,NULL
406500,角鐵及木板,NULL
407000,戶外用品,NULL
